"id","state_id","name"
"1","2","Bydgoszcz"
"2","13","Czechowice-Dziedzice"
"3","3","Elbląg"
"4","2","Gdańsk"
"5","2","Gdynia"
"6","13","Jaworzno"
"7","13","Katowice"
"8","14","Kielce"
"9","1","Koszalin"
"10","15","Kraków"
"11","11","Lublin"
"12","10","Łódź"
"13","3","Olsztyn"
"14","6","Poznań"
"15","7","Radom"
"16","2","Rumia"
"17","13","Rybnik"
"18","16","Rzeszów"
"19","2","Słupsk"
"20","2","Sopot"
"21","1","Szczecin"
"22","13","Tychy"
"23","7","Warszawa"
"24","8","Włocławek"
"25","9","Wrocław"
"26","13","Zabrze"
"27","9","Zgorzelec"
